products_name,products_url,products_brand,products_sale_price,products_original_price,products_description,products_color,products_no_sale_price,style,heel type,patten
Flag Boot,https://www.revolve.com/raye-flag-boot/dp/RAYE-WZ1537/?d=Womens&page=1&lc=60&itrownum=11&itcurrpage=1&itview=05,RAYE,$52,$198,"Croc embossed faux leather upper with leather sole
Side zipper closure
Stacked heel measures approx 3"" H
Imported
Revolve Style No. RAYE-WZ1537
Manufacturer Style No. RYSH192 F19",Taupe,,western,block,crocc
Fang Bootie,https://www.revolve.com/raye-fang-bootie/dp/RAYE-WZ1282/?d=Womens&page=1&lc=61&itrownum=12&itcurrpage=1&itview=05,RAYE,$51,$168,"Snakeskin embossed stretch textile upper with leather sole
Pull-on styling
Heel measures approx 4.25"" H
Shaft measures approx 6"" H
Imported
Revolve Style No. RAYE-WZ1282
Manufacturer Style No. RYSH89 R18",Brown Snake,,generic high block,block,snake
Braxton Bootie,https://www.revolve.com/raye-braxton-bootie/dp/RAYE-WZ1491/?d=Womens&page=1&lc=71&itrownum=14&itcurrpage=1&itview=05,RAYE,$70,$198,"Leather upper with man made sole
Side zipper closure
Round wood heel
Heel measures approx 3.5"" H
Made in Brazil
Revolve Style No. RAYE-WZ1491
Manufacturer Style No. RYSH277 H19",Black,,retro block,block,leather
Blade Bootie,https://www.revolve.com/raye-blade-bootie/dp/RAYE-WZ1155/?d=Womens&page=1&lc=73&itrownum=15&itcurrpage=1&itview=05,RAYE,$109,$198,"Suede upper with man made sole
Pull-on styling
Fringe trim
Heel measures approx 4.25"" H
Shaft measures approx 6"" H
Imported
Revolve Style No. RAYE-WZ1155
Manufacturer Style No. RYBS506 S19",Tan,,stiletto,stiletto,suede
Faris Boot,https://www.revolve.com/raye-faris-boot/dp/RAYE-WZ562/?d=Womens&page=1&lc=76&itrownum=15&itcurrpage=1&itview=05,RAYE,$64,$198,"Smooth velvet creates your new must-have: Smooth velvet creates your new must-have: RAYE's Faris Boot. A tight-to-the-skin silhouette is elevated by a block heel design that will carry you into the next season and beyond.
Stretch velvet textile upper with leather sole
Pull on styling
Heel measures approx 3.5"" H
Shaft measures approx 7"" H
Revolve Style No. RAYE-WZ562
Manufacturer Style No. RYBS257 F17",Black Velvet,,generic high block,block,fabric
Colt Bootie,https://www.revolve.com/raye-colt-bootie/dp/RAYE-WZ1563/?d=Womens&page=1&lc=84&itrownum=17&itcurrpage=1&itview=05,RAYE,$160,$228,"Suede upper with leather sole
Side zipper closure
Heel measures approx 3.25"" H
Imported
Revolve Style No. RAYE-WZ1563
Manufacturer Style No. RYSH253 H19",Cognac,,western,block,suede
Daria Bootie,https://www.revolve.com/raye-daria-bootie/dp/RAYE-WZ1533/?d=Womens&page=1&lc=87&itrownum=18&itcurrpage=1&itview=05,RAYE,$53 (FINAL SALE),$228,"Dyed pony hair upper with leather sole
Fur Origin: Brazil
Side zipper closure
All over leopard print
Heel measures approx 3.25"" H
Imported
This item is not available for international export
Revolve Style No. RAYE-WZ1533
Manufacturer Style No. RYSH280 H19",Black & White,,kitten,kitten,calf hair
Goldrush Bootie,https://www.revolve.com/raye-goldrush-bootie/dp/RAYE-WZ1484/?d=Womens&page=1&lc=93&itrownum=20&itcurrpage=1&itview=05,RAYE,$52,$198,"Snakeskin embossed faux leather upper with leather sole
Pull-on styling
Side elastic gussets
Heel measures approx 2.25"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. RAYE-WZ1484
Manufacturer Style No. RYSH196 F19",Black,,western,block,snake
Alan Boot,https://www.revolve.com/raye-alan-boot/dp/RAYE-WZ1471/?d=Womens&page=1&lc=95&itrownum=20&itcurrpage=1&itview=05,RAYE,$51 (FINAL SALE),$228,"Leather upper with rubber sole
Lace-up front
Side zipper closure
Heel measures approx 3.5"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. RAYE-WZ1471
Manufacturer Style No. RYBT453 F18",Black,,heeled hiker,block,leather
Liberty Bootie,https://www.revolve.com/raye-liberty-bootie/dp/RAYE-WZ1448/?d=Womens&page=1&lc=8&itrownum=22&itcurrpage=1&itview=05,RAYE,$70,$198,"Suede upper with leather sole
Side zipper closure
Heel measures approx 3"" H
Imported
Revolve Style No. RAYE-WZ1448
Manufacturer Style No. RYSH106 U19",Black,,kitten,kitten,suede
Sequoia Bootie,https://www.revolve.com/raye-sequoia-bootie/dp/RAYE-WZ1662/?d=Womens&page=1&lc=9&itrownum=23&itcurrpage=1&itview=05,RAYE,$137,$228,"Top stitched leather upper with man made sole
Back zipper closure
Heel measures approx 3"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. RAYE-WZ1662
Manufacturer Style No. RYBS507 S19",Black,,western,kitten,leather
Revel Bootie,https://www.revolve.com/raye-revel-bootie/dp/RAYE-WZ1477/?d=Womens&page=1&lc=18&itrownum=25&itcurrpage=1&itview=05,RAYE,$67,$228,"Faux patent leather upper with leather sole
Pull-on styling
Heel measures approx 4.25"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. RAYE-WZ1477
Manufacturer Style No. RYSH210 F19",Black,,stiletto,stiletto,patent
City Bootie,https://www.revolve.com/raye-city-bootie/dp/RAYE-WZ1483/?d=Womens&page=1&lc=19&itrownum=25&itcurrpage=1&itview=05,RAYE,$38 (FINAL SALE),$198,"Dyed calf hair upper with leather sole
Fur Origin: China
Back zipper closure
Heel measures approx 3"" H
Shaft measures approx 6"" H
Imported
This item is not available for international export
Revolve Style No. RAYE-WZ1483
Manufacturer Style No. RYSH211 F19",Tan Zebra,,generic low block,block,calf hair
East Bootie,https://www.revolve.com/raye-east-bootie/dp/RAYE-WZ1528/?d=Womens&page=1&lc=34&itrownum=29&itcurrpage=1&itview=05,RAYE,$137,$228,"Croc embossed faux leather upper with man made sole
Pull-on styling
Heel measures approx 3.5"" H
Shaft measures approx 5.75"" H
Imported
Revolve Style No. RAYE-WZ1528
Manufacturer Style No. RYSH269 H19",White,,kitten,kitten,crocc
Shore Bootie,https://www.revolve.com/raye-shore-bootie/dp/RAYE-WZ1403/?d=Womens&page=1&lc=38&itrownum=30&itcurrpage=1&itview=05,RAYE,$101,$228,"Snakeskin embossed leather upper with man made sole
Side zipper closure
Heel measures approx 3.5""H
Made in Brazil
Revolve Style No. RAYE-WZ1403
Manufacturer Style No. RYSH217 F19",Black,,generic low block,block,crocc
Elodie Bootie,https://www.revolve.com/raye-elodie-bootie/dp/RAYE-WZ1425/?d=Womens&page=1&lc=41&itrownum=31&itcurrpage=1&itview=05,RAYE,$90,$198,"Leather upper with man made sole
Lace-up front
Heel measures approx 2.5"" H
Made in Brazil
Revolve Style No. RAYE-WZ1425
Manufacturer Style No. RYSH214 F19",Black,,kitten,kitten,leather
Rio Bootie,https://www.revolve.com/raye-rio-bootie/dp/RAYE-WZ1407/?d=Womens&page=1&lc=48&itrownum=32&itcurrpage=1&itview=05,RAYE,$67,$228,"Python embossed leather and suede upper with man made sole
Back zipper closure
Heel measures approx 2""H
Shaft measures approx 4""H
Made in Brazil
Revolve Style No. RAYE-WZ1407
Manufacturer Style No. RYSH84 S19",Green Snake,,kitten,kitten,snake
Loren Bootie,https://www.revolve.com/raye-loren-bootie/dp/RAYE-WZ1504/?d=Womens&page=1&lc=60&itrownum=35&itcurrpage=1&itview=05,RAYE,$139,$248,"Suede upper with leather sole
Back zipper closure
Turkey feather trim
Heel measures approx 4"" H
Shaft measures approx 4.5"" H
Imported
Revolve Style No. RAYE-WZ1504
Manufacturer Style No. RYSH247 H19",Black,,stiletto,stiletto,suede
Cruz Bootie,https://www.revolve.com/raye-cruz-bootie/dp/RAYE-WZ1542/?d=Womens&page=1&lc=61&itrownum=36&itcurrpage=1&itview=05,RAYE,$96,$198,"Leather upper with man made sole
Side zipper closure
Heel measures approx 3.75"" H
Made in Brazil
Revolve Style No. RAYE-WZ1542
Manufacturer Style No. RYSH340 R19",Black,,generic high block,block,leather
Force Bootie,https://www.revolve.com/raye-force-bootie/dp/RAYE-WZ1405/?d=Womens&page=1&lc=68&itrownum=37&itcurrpage=1&itview=05,RAYE,$44 (FINAL SALE),$228,"Dyed calf hair upper with man made sole
Fur Origin: Brazil
Back zipper closure
Heel measures approx 2.25"" H
Made in Brazil
This item is not available for international export
Revolve Style No. RAYE-WZ1405
Manufacturer Style No. RYSH219 F19",Tan Leopard,,kitten,kitten,suede
Amerie Bootie,https://www.revolve.com/raye-amerie-bootie/dp/RAYE-WZ1363/?d=Womens&page=1&lc=83&itrownum=41&itcurrpage=1&itview=05,RAYE,$86,$178,"Faux leather upper with leather sole
Pull-on styling
Heel measures approx 3"" H
Imported
Revolve Style No. RAYE-WZ1363
Manufacturer Style No. RYBS508 S19",Black,,generic high block,block,leather
Sterling Bootie,https://www.revolve.com/raye-sterling-bootie/dp/RAYE-WZ1518/?d=Womens&page=1&lc=91&itrownum=43&itcurrpage=1&itview=05,RAYE,$135,$258,"Crystal embellished leather upper with leather sole
Side zipper closure
Heel measures approx 4.25"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. RAYE-WZ1518
Manufacturer Style No. RYSH260 H19",Black,,stiletto,stiletto,leather
Tati Booties,https://www.revolve.com/raye-tati-booties/dp/RAYE-WZ613/?d=Womens&page=1&lc=2&itrownum=45&itcurrpage=1&itview=05,RAYE,$174,$248,"Suede upper with leather sole
Back zip closure
Heel measures approx 4"" H
Revolve Style No. RAYE-WZ613
Manufacturer Style No. RYBS315 H17",Tan,,stiletto,stiletto,suede
Easton Bootie,https://www.revolve.com/raye-easton-bootie/dp/RAYE-WZ1102/?d=Womens&page=1&lc=8&itrownum=46&itcurrpage=1&itview=05,RAYE,$118,$168,"Snakeskin embossed man made upper with leather sole
Back zipper closure
Heel measures approx 4.25"" H
Shaft measures approx 6.25"" H
Imported
Revolve Style No. RAYE-WZ1102
Manufacturer Style No. RYBS496 H18",white snake,,generic high block,block,snake
Yvette Bootie,,RAYE,,,"Leather upper with man made sole
Side elastic gussets
Heel measures approx 2.5"" H
Imported
Revolve Style No. RAYE-WZ1457
Manufacturer Style No. RYSH152 F19",Black,$198,chelsea,block,leather
Cage Bootie,,RAYE,$119,$198,"Snake embossed faux leather upper with man made sole
Side zipper closure
Wedge measures approx 4"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. RAYE-WZ1514
Manufacturer Style No. RYSH237 H19",white snake,,wedge,wedge,snake
Austine Bootie,,RAYE,$77,$238,"Leather upper and sole
Real dyed shearling
Fur Origin: China
Pull-on styling
Foldover detail
Heel measures approx 4.25"" H
Shaft measures approx 5.25"" H
Imported
This item is not available for international export
Revolve Style No. RAYE-WZ1464
Manufacturer Style No. RYBS491 H18",tan,,stiletto,stiletto,leather
Corden Bootie,,RAYE,$75,$208,"Leather upper with man made sole
Side zipper closure
Heel measures approx 2""H 
Shaft measures approx 6""H
Made in Brazil
Revolve Style No. RAYE-WZ1404
Manufacturer Style No. RYSH218 F19",black,,generic low block,block,leather
Fable Bootie,,RAYE,$139,$198,"Keep your outfits in the moment with RAYE's Fable Bootie. A stretch fabric upper gives you that sought-after sock bootie look, while a stacked heel keeps the finish femme.
Stretch textile upper with leather sole
Pull on styling
Heel measures approx 3.5"" H
Shaft measures approx 6.5"" H
Revolve Style No. RAYE-WZ526
Manufacturer Style No. RYBS179 F17",black,,generic high block,block,fabrix
Tone Bootie,,RAYE,$137,$228,"Leather upper and sole
Back zip closure
Heel measures approx 4"" H
Shaft measures approx 6.5"" H
Imported
Revolve Style No. RAYE-WZ1532
Manufacturer Style No. RYSH266 H19",Black & White,,stiletto,stiletto,leather
Bevy Bootie,,RAYE,$121,$228,"Satin textile upper with leather sole
Back zipper closure
Heel measures approx 3.5"" H
Shaft measures approx 6.5"" H
Imported
Revolve Style No. RAYE-WZ1495
Manufacturer Style No. RYBS492 H18",Black,,stiletto,stiletto,fabric
Vista Booti,,RAYE,$139,$248,"Suede upper with leather sole
Pull-on styling
Heel measures approx 4"" H
Shaft measures approx 7"" H
Imported
Revolve Style No. RAYE-WZ1475
Manufacturer Style No. RYSH212 F19",Tan ,,stiletto,stiletto,suede
Leon Boot,,RAYE,$57,$228,"Snakeskin embossed man made upper with leather sole
Back zip closure
Pull tabs
Stacked heel measures approx 4"" H
Imported
Revolve Style No. RAYE-WZ1313
Manufacturer Style No. RYSH104 U19",Grey Snake,,western,block,snake
Leo Bootie,,RAYE,$110,$228,"Real dyed calf hair upper with man made sole
Fur Origin: China
Back zipper closure
Heel measures approx 4.25"" H
Imported
This item is not available for international export
Revolve Style No. RAYE-WZ1120
Manufacturer Style No. RYBS501 H18",leopard,,generic high block,block,calf hair
1002 Patent Bootie,,RtA,$254,$745,"Patent leather upper with leather sole
Back zipper closure
Heel measures approx 2"" H
Shaft measures approx 7"" H
Made in Italy
Revolve Style No. RTAR-WZ2
Manufacturer Style No. SF9LE 1002BKPT",Black,,western,block,patent
Windsor Bootie,https://www.revolve.com/sam-edelman-windsor-bootie/dp/SAME-WZ678/?d=Womens&page=1&lc=69&itrownum=14&itcurrpage=1&itview=05,Sam Edelman,$82,$170,"Leather upper with manmade sole
Side zip closure
Snip toe
Brushed silver-tone buckle detail
Embroidery detail at toe
Stacked heel
Heel measures approx 3.5"" H
Shaft measures approx 2.5"" H
Imported
Revolve Style No. SAME-WZ678
Manufacturer Style No. G9183L1900",Cubano,,western,block,leather
Sade Bootie,https://www.revolve.com/sam-edelman-sade-bootie/dp/SAME-WZ667/?d=Womens&page=1&lc=90&itrownum=19&itcurrpage=1&itview=05,Sam Edelman,$94,$180,"Leather upper with rubber sole
Lace-up front
Side zipper closure
Stacked heel measures approx 3.5"" H
Imported
Revolve Style No. SAME-WZ667
Manufacturer Style No. G7068L3001",Black,,hiker,block,leather
Leonia Bootie,https://www.revolve.com/sam-edelman-leonia-bootie/dp/SAME-WZ665/?d=Womens&page=1&lc=92&itrownum=19&itcurrpage=1&itview=05,Sam Edelman,$79,$160,"Suede upper with man made sole
Hidden side zip closure
Buckle strap accent
Stacked heel measures approx 2.5"" H
Revolve Style No. SAME-WZ665
Manufacturer Style No. G7016L1250",Golden Caramel,,generic low block,block,suede
Raelle 2 Bootie,https://www.revolve.com/sam-edelman-raelle-2-bootie/dp/SAME-WZ659/?d=Womens&page=1&lc=52&itrownum=33&itcurrpage=1&itview=05,Sam Edelman,$89,$180,"Croc embossed leather upper with man made sole
Side zipper closure
Heel measures approx 3.75"" H
Imported
Revolve Style No. SAME-WZ659
Manufacturer Style No. G7473L1020",Grey Iris Croco,,generic high block,block,crocc
Winona Bootie,https://www.revolve.com/sam-edelman-winona-bootie/dp/SAME-WZ656/?d=Womens&page=1&lc=55&itrownum=34&itcurrpage=1&itview=05,Sam Edelman,$108,$180,"Croc embossed patent leather upper with man made sole
Side zipper closure
Elastic gussets
Heel measures approx 2.5"" H
Imported
Revolve Style No. SAME-WZ656
Manufacturer Style No. F11499L400",navy,,western,block,crocc
Raelle Bootie,,Sam Edelman,$76,$160,"Leather upper with man made sole
Side zipper closure
Heel measures approx 3.75"" H
Imported
Revolve Style No. SAME-WZ655
Manufacturer Style No. G7076L4001",black,,generic high block,block,leather
Hilty Suede Bootie,,Sam Edelman,,,"Suede upper with man made sole
Side zipper closure
Heel measures approx 3"" H
Imported
Revolve Style No. SAME-WZ618
Manufacturer Style No. G0502L4002",black,$160,generic low block,block,suede
Abella Bootie,,Sam Edelman,$69,$160,"Suede upper with man made sole
Side elastic gussets
Heel measures approx 4.25"" H
Platform measures approx 1"" H
Imported
Revolve Style No. SAME-WZ658
Manufacturer Style No. G6788L1200",Brown,,retro block,block,suede
Nikki Bootie,https://www.revolve.com/schutz-nikki-bootie/dp/SCHU-WZ531/?d=Womens&page=1&lc=70&itrownum=14&itcurrpage=1&itview=05,Schutz,$68,$240,"Leather upper and sole
Pull-on styling
Faux fur lining
Convertible styling
Heel measures approx 2.75"" H
Shaft measures approx 6"" H
Made in Brazil
Revolve Style No. SCHU-WZ531
Manufacturer Style No. S2006700520003",Wood,,kitten,kitten,leather
Makayla Boot,https://www.revolve.com/schutz-makayla-boot/dp/SCHU-WZ238/?d=Womens&page=1&lc=77&itrownum=16&itcurrpage=1&itview=05,Schutz,$158,$286,"Leather upper and sole
Ankle strap with buckle closures
Side zip closure
Lace-up front
Heel measures approx 4"" H
Shaft measures approx 5"" H
Revolve Style No. SCHU-WZ238
Manufacturer Style No. S2012500010002",Black,,heeled hiker,block,leather
Lisbay Bootie,https://www.revolve.com/schutz-lisbay-bootie/dp/SCHU-WZ510/?d=Womens&page=1&lc=10&itrownum=23&itcurrpage=1&itview=05,Schutz,$99,$275,"Croc embossed man made upper with leather sole
Side zipper closure
Buckle accent
Metal toecap
Heel measures approx 2"" H
Made in Brazil
Revolve Style No. SCHU-WZ510
Manufacturer Style No. S2071400030005",white,,buckle,block,crocc
Haven Boot,https://www.revolve.com/schutz-haven-boot/dp/SCHU-WZ537/?d=Womens&page=1&lc=20&itrownum=25&itcurrpage=1&itview=05,Schutz,$64,$245,"Snake embossed synthetic upper with leather sole
Pull-on styling
Heel measures approx 3"" H
Made in Brazil
Revolve Style No. SCHU-WZ537
Manufacturer Style No. S2068100040002",Snake,,western,block,snake
Bette Bootie,https://www.revolve.com/schutz-bette-bootie/dp/SCHU-WZ555/?d=Womens&page=1&lc=80&itrownum=40&itcurrpage=1&itview=05,Schutz,$79,$225,"Leather upper and sole
Side zipper closure
Heel measures approx 2.5"" H
Shaft measures approx 5"" in length
Made in Brazil
Revolve Style No. SCHU-WZ555
Manufacturer Style No. S2006700060029",silver,,kitten,kitten,leather
Annmarie Bootie,https://www.revolve.com/schutz-annmarie-bootie/dp/SCHU-WZ552/?d=Womens&page=1&lc=95&itrownum=44&itcurrpage=1&itview=05,Schutz,$154,$295,"Leather upper with rubber sole
Front zipper closure
Zipper accents
Heel measures approx 1.5"" H
Shaft measures approx 6"" H
Made in Brazil
Revolve Style No. SCHU-WZ552
Manufacturer Style No. S2063600160003",White,,combat,flat,leather
Anaiya Bootie,,Schutz,,,"Leather upper and sole
Side zipper closure
Lace-up front
Almond toe
Heel measures approx 4"" H
Shaft measures approx 5.5"" H
Made in Brazil
Revolve Style No. SCHU-WZ614
Manufacturer Style No. S0209105930019",Beige,$265,stiletto,stiletto,leather
Zarina Boot,,Schutz,$136,$255,"Leather upper and sole
Pull-on styling
Elastic goring detail at sides
Heel measures approx 4"" H
Shaft measures approx 7"" in length
Made in Brazil
Revolve Style No. SCHU-WZ557
Manufacturer Style No. S2080300100001",Black,,stiletto,stiletto,leather
Basia Bootie,,Schutz,,,"Suede upper with man made sole
Elasticized pull on styling
Heel measures approx 4"" H
Shaft measures approx 5"" H
Revolve Style No. SCHU-WZ235
Manufacturer Style No. S0425700270001U",Black,$246,stiletto,stiletto,suede
Brandie Platform Bootie,https://www.revolve.com/see-by-chloe-brandie-platform-bootie/dp/SEEB-WZ197/?d=Womens&page=1&lc=3&itrownum=21&itcurrpage=1&itview=05,See By Chloe,$145,$425,"Suede and real dyed shearling upper with rubber sole
Fur Origin: South Africa
Front buckle closure
Heel measures approx 3.5"" H
Platform measures approx 1"" H
Imported
This item is not available for international export
Revolve Style No. SEEB-WZ197
Manufacturer Style No. SB33132A 10203",Tan,,heeled hiker,block,suede
Hopper Bootie,https://www.revolve.com/see-by-chloe-hopper-bootie/dp/SEEB-WZ208/?d=Womens&page=1&lc=31&itrownum=28&itcurrpage=1&itview=05,See By Chloe,$267,$445,"Leather upper with man made sole
Side zipper closure
Buckle detailing
Heel measures approx 3"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. SEEB-WZ208
Manufacturer Style No. SB34074A.11131",tan,,buckle,block,leather
Eileen Bootie,https://www.revolve.com/see-by-chloe-eileen-bootie/dp/SEEB-WZ198/?d=Womens&page=1&lc=59&itrownum=35&itcurrpage=1&itview=05,See By Chloe,$158,$450,"Suede and leather upper with rubber sole
Real dyed shearling trim
Fur Origin: South Africa
Lace-up front
Heel measures approx 2""
Imported
This item is not available for international export
Revolve Style No. SEEB-WZ198
Manufacturer Style No. SB31121A 8230",brown,,hiker,block,suede
Kristy Bootie,https://www.revolve.com/see-by-chloe-kristy-bootie/dp/SEEB-WZ206/?d=Womens&page=1&lc=64&itrownum=36&itcurrpage=1&itview=05,See By Chloe,$174,$395,"Suede leather upper with man made sole
Side zipper closure
Scallop eyelet trim
Heel measures approx 3"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. SEEB-WZ206
Manufacturer Style No. SB34094A 11101",Taupe,,generic low block,block,suede
Alexis Bootie,https://www.revolve.com/see-by-chloe-alexis-bootie/dp/SEEB-WZ187/?d=Womens&page=1&lc=71&itrownum=38&itcurrpage=1&itview=05,See By Chloe,$171,$475,"Leather upper with leather sole
Elasticized pull on styling
Brass buckle accent
Heel measures approx 3"" H
Imported
Revolve Style No. SEEB-WZ187
Manufacturer Style No. SB32001A 10070",brown,,buckle,block,leather
Bryn Bootie,https://www.revolve.com/see-by-chloe-bryn-bootie/dp/SEEB-WZ199/?d=Womens&page=1&lc=79&itrownum=40&itcurrpage=1&itview=05,See By Chloe,$250,$480,"Leather upper with man made sole
Side zipper closure with ring pull
Ankle strap with buckle closure
Whipstitch trim
Heel measures approx 3.25"" H
Shaft measures approx 7"" H
Imported
Revolve Style No. SEEB-WZ199
Manufacturer Style No. SB33011A 10270",brown,,buckle,block,leather
Hopper Bootie,https://www.revolve.com/see-by-chloe-hopper-bootie/dp/SEEB-WZ209/?d=Womens&page=1&lc=89&itrownum=43&itcurrpage=1&itview=05,See By Chloe,$245,$445,"Leather upper with man made sole
Side zipper closure
Gold-tone metal accent
Heel measures approx 3"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. SEEB-WZ209
Manufacturer Style No. SB34074A 11132",Taupe,,buckle,block,leather
Janis Bootie,https://www.revolve.com/see-by-chloe-janis-bootie/dp/SEEB-WZ158/?d=Womens&page=1&lc=92&itrownum=43&itcurrpage=1&itview=05,See By Chloe,$278,$495,"Leather upper with man made sole
Pull-on styling
Gold tone buckle and stud accents
Heel measures approx 3.5"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. SEEB-WZ158
Manufacturer Style No. SB31146A 08101",Brown,,buckle,block,leather
Western Bootie,https://www.revolve.com/see-by-chloe-western-bootie/dp/SEEB-WZ186/?d=Womens&page=1&lc=5&itrownum=46&itcurrpage=1&itview=05,See By Chloe,$171,$450,"Leather upper with man made sole
Pull-on styling
Metal ring accent
Heel measures approx 2.5"" H
Imported
Revolve Style No. SEEB-WZ186
Manufacturer Style No. SB33025A.10140",Black,,western,block,leather
Stud Bootie,,See By Chloe,,,"Leather upper with man made sole
Pull-on styling
Gold tone buckle and stud accents
Heel measures approx 3.5"" H
Imported
Revolve Style No. SEEB-WZ147
Manufacturer Style No. SB31146A",Black,$495,buckle,block,leather
Howl Stitch Bootie,,See By Chloe,$133,$300,"Suede upper with rubber sole
Side zipper closure
Leather whipstitch detail with bow accent
Heel measures approx 3"" H
Revolve Style No. SEEB-WZ180
Manufacturer Style No. SB33023A.10080",Black,,generic low block,block,suede
Qianna Bootie,https://www.revolve.com/senso-qianna-bootie/dp/SENS-WZ158/?d=Womens&page=1&lc=63&itrownum=12&itcurrpage=1&itview=05,SENSO,$53 (FINAL SALE),$230,"Knit textile and patent faux leather upper with man made sole
Pull-on styling
Heel measures approx 2.5"" H
Shaft measures approx 7"" H
Imported
Revolve Style No. SENS-WZ158
Manufacturer Style No. QIANNA",Ebony,,kitten,kitten,patent
Quentin Bootie,https://www.revolve.com/senso-quentin-bootie/dp/SENS-WZ170/?d=Womens&page=1&lc=24&itrownum=26&itcurrpage=1&itview=05,SENSO,$88,$265,"Faux patent leather and knit textile upper with man made sole
Pull-on styling
Heel measures approx 3.25"" H
Shaft measures approx 5.25"" H
Imported
Revolve Style No. SENS-WZ170
Manufacturer Style No. QUENTIN",black,,western,block,patent
Quillan Bootie,https://www.revolve.com/senso-quillan-bootie/dp/SENS-WZ167/?d=Womens&page=1&lc=35&itrownum=29&itcurrpage=1&itview=05,SENSO,$89,$245,"Leather upper with man made sole
Pull-on styling
Heel measures approx 3.25"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. SENS-WZ167
Manufacturer Style No. QUILLAN",white,,western,block,leather
Quillan II Bootie,https://www.revolve.com/senso-quillan-ii-bootie/dp/SENS-WZ160/?d=Womens&page=1&lc=57&itrownum=35&itcurrpage=1&itview=05,SENSO,$110,$220,"Suede and snake skin embossed leather upper with man made sole
Pull-on styling
Heel measures approx 3.25"" H
Revolve Style No. SENS-WZ160
Manufacturer Style No. QUILLIAN II",brown,,western,block,suede
Chaparral Bootie,https://www.revolve.com/seychelles-chaparral-bootie/dp/SEYC-WZ407/?d=Womens&page=1&lc=42&itrownum=31&itcurrpage=1&itview=05,Seychelles,$104,$159,"Leather upper with rubber sole
Side zipper closure
Heel measures approx 2.5"" H
Revolve Style No. SEYC-WZ407
Manufacturer Style No. CHAPARRAL",White Leather,,generic low block,block,leather
Hidden Agenda Bootie,https://www.revolve.com/seychelles-hidden-agenda-bootie/dp/SEYC-WZ399/?d=Womens&page=1&lc=96&itrownum=44&itcurrpage=1&itview=05,Seychelles,$102,$169,"Leather upper and sole
Side zipper closure
Stitched detail
Stacked heel measures approx 2.5"" H
Imported
Revolve Style No. SEYC-WZ399
Manufacturer Style No. HIDDEN AGENDA",Brown Leather,,western,block,leather
Engaging Bootie,,Seychelles,$90,$150,"Suede upper with leather sole
Side zipper closure
Lug sole
Heel measures approx 2"" H
Platform measures approx 1"" H
Imported
Revolve Style No. SEYC-WZ400
Manufacturer Style No. ENGAGING",black,,hiker,block,suede
In a Trance Bootie,,Seychelles,$90,$149,"Leather upper with man made sole
Side elastic gussets
Heel measures approx 2"" H
Revolve Style No. SEYC-WZ402
Manufacturer Style No. IN A TRANCE",Black,,chelsea,block,leather
Beatrice Bootie,https://www.revolve.com/sigerson-morrison-beatrice-bootie/dp/SMOR-WZ110/?d=Womens&page=1&lc=43&itrownum=31&itcurrpage=1&itview=05,Sigerson Morrison,$115,$395,"Leather upper and sole
Side zipper closure
Snakeskin embossed leather heel
Heel measures approx 3.25"" H
Shaft measures approx 4.75"" H
Imported
Revolve Style No. SMOR-WZ110
Manufacturer Style No. BEATRICE",Black,,generic high block,block,leather
Odelia Bootie,https://www.revolve.com/sigerson-morrison-odelia-bootie/dp/SMOR-WZ123/?d=Womens&page=1&lc=44&itrownum=31&itcurrpage=1&itview=05,Sigerson Morrison,$190,$450,"Suede upper with rubber sole
Lace-up front
Faux fur lining
Heel measures approx 3.5"" H
Shaft measures approx 6"" H
Imported
Revolve Style No. SMOR-WZ123
Manufacturer Style No. ODELIA",beige,,heeled hiker,block,suede
Taima Bootie,https://www.revolve.com/sigerson-morrison-taima-bootie/dp/SMOR-WZ104/?d=Womens&page=1&lc=6&itrownum=46&itcurrpage=1&itview=05,Sigerson Morrison,$151,$395,"Suede upper with leather sole
Pull-on styling
Stacked heel measures approx 2"" H
Imported
Revolve Style No. SMOR-WZ104
Manufacturer Style No. TAIMA",brown,,western,block,suede
Tacyly Bootie,,Sigerson Morrison,$99,$395,"Real dyed calf hair and leather upper with leather sole
Fur Origin: USA
Pull-on styling
Heel measures approx 2"" H
Imported
This item is not available for international export
Revolve Style No. SMOR-WZ105
Manufacturer Style No. TACYLY",leopard,,western,block,calf hair
Tabatha Bootie,,Sigerson Morrison,$78 (FINAL SALE),$325,"Snakeskin embossed leather upper with leather sole
Slip-on styling
Heel measures approx 2"" H
Imported
Revolve Style No. SMOR-WZ102
Manufacturer Style No. TABATHA",Grey Black Snake,,western,block,snake
