products_name,products_url,products_brand,products_sale_price,products_original_price,products_description,products_color,products_no_sale_price,style,heel type,patten
Izzy Boot,https://www.revolve.com/allsaints-izzy-boot/dp/ALLR-WZ50/?d=Womens&page=1&lc=3&itrownum=1&itcurrpage=1&itview=05,ALLSAINTS,,,"Suede upper with rubber sole
Side zipper closure
Fringe detail
Pointed toe
Heel measures approx 4.25"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. ALLR-WZ50
Manufacturer Style No. ZW0158",Taupe,$380,western,stiletto,suede
Rolene Croco Bootie,https://www.revolve.com/allsaints-rolene-croco-bootie/dp/ALLR-WZ45/?d=Womens&page=1&lc=20&itrownum=1&itcurrpage=1&itview=05,ALLSAINTS,$112,$398,"Croc embossed leather upper with leather sole
Side zipper closure
Heel measures approx 3"" H
Made in Portugal
Revolve Style No. ALLR-WZ45
Manufacturer Style No. ZW0115",Red Crocc,,western,block,crocc
Ana Bootie,https://www.revolve.com/allsaints-ana-bootie/dp/ALLR-WZ46/?d=Womens&page=1&lc=22&itrownum=2&itcurrpage=1&itview=05,ALLSAINTS,$187,$380,"Suede upper with man-made sole
Button snap and side zipper closure
Heel measures approx 4"" H
Imported
Revolve Style No. ALLR-WZ46
Manufacturer Style No. ZW0127",Grey Suede,,heeled hiker,block,suede
Katy Croco Bootie,https://www.revolve.com/allsaints-katy-croco-bootie/dp/ALLR-WZ43/?d=Womens&page=1&lc=25&itrownum=3&itcurrpage=1&itview=05,ALLSAINTS,$239,$398,"Croc embossed patent leather upper with leather sole and rubber tap heel
Side zipper closure
Lace-up front
Buckle accent
Heel measures approx 2"" H
Shaft measures approx 5.5"" H
Made in Portugal
Revolve Style No. ALLR-WZ43
Manufacturer Style No. ZW0085",Black Croc,,buckle,block,crocc
Rolene Strap Bootie,https://www.revolve.com/allsaints-rolene-strap-bootie/dp/ALLR-WZ38/?d=Womens&page=1&lc=31&itrownum=4&itcurrpage=1&itview=05,ALLSAINTS,$168,$398,"Leather upper and sole
Side zip closure
Pull tabs
Heel measures approx 3"" H
Made in Portugal
Revolve Style No. ALLR-WZ38
Manufacturer Style No. ZW0019",Black,,western,block,leather
Lior Bootie,https://www.revolve.com/allsaints-lior-bootie/dp/ALLR-WZ49/?d=Womens&page=1&lc=40&itrownum=6&itcurrpage=1&itview=05,ALLSAINTS,$228,$380,"Snake embossed leather upper with leather sole
Side zipper closure
Adjustable buckle straps
Pointed toe
Heel measures approx 2"" H
Shaft measures approx 5.5"" H
Made in Portugal
Revolve Style No. ALLR-WZ49
Manufacturer Style No. ZW0172",Taupe Snake,,western,block,snake
Katy Bootie,,ALLSAINTS,,,"Leather upper and sole
Front lace-up closure
Ankle zip closure
Buckle strap accent
Heel measures approx 2"" H
Made in Portugal
Revolve Style No. ALLR-WZ37
Manufacturer Style No. WF809P",Black,$348,buckle,block,leather
Louisa Bootie,,ALLSAINTS,,,"Leather upper with man made sole
Side zipper closure
Silver tone stud accents
Heel measures approx 4"" H
Platform measures approx 1"" H
Made in Portugal
Revolve Style No. ALLR-WZ29
Manufacturer Style No. WF136N",Black,$348,heeled hiker,block,leather
Ava Bootie,https://www.revolve.com/anine-bing-ava-bootie/dp/ANIN-WZ45/?d=Womens&page=1&lc=5&itrownum=2&itcurrpage=1&itview=05,ANINE BING,$225,$499,"Snakeskin embossed leather upper with leather sole
Side zip closure
Cushioned sole
Spool heel
Heel measures approx 2.5"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. ANIN-WZ45
Manufacturer Style No. A-14-1079-441",Blue Snake,,kitten,kitten,snake
Loren Boots,https://www.revolve.com/anine-bing-loren-boots/dp/ANIN-WZ52/?d=Womens&page=1&lc=8&itrownum=2&itcurrpage=1&itview=05,ANINE BING,,,"Smooth leather and suede leather upper with leather sole
Side zipper closure
Heel measures approx 2"" H
Shaft measures approx 5.5"" H
Made in Turkey
Revolve Style No. ANIN-WZ52
Manufacturer Style No. A-14-1086-100",White,$499,kitten,kitten,leather
Loren Booties,https://www.revolve.com/anine-bing-loren-booties/dp/ANIN-WZ47/?d=Womens&page=1&lc=12&itrownum=3&itcurrpage=1&itview=05,ANINE BING,$350,$499,"Leather and suede upper with leather sole
Side zipper closure
Heel measures approx 2"" H
Shaft measures approx 5"" H
Made in Turkey
Revolve Style No. ANIN-WZ47
Manufacturer Style No. A-14-1086-203",Cognac & Black,,kitten,kitten,suede
Penny Bootie,https://www.revolve.com/anine-bing-penny-bootie/dp/ANIN-WZ46/?d=Womens&page=1&lc=32&itrownum=4&itcurrpage=1&itview=05,ANINE BING,$490,$699,"Leather upper and sole
Side zipper closure
Buckle strap accents
Gold stud details
Heel measures approx 1.75"" H
Made in Turkey
Revolve Style No. ANIN-WZ46
Manufacturer Style No. A-14-1003-100",White,,western,block,leather
Stevie Boot,https://www.revolve.com/anine-bing-stevie-boot/dp/ANIN-WZ38/?d=Womens&page=1&lc=41&itrownum=7&itcurrpage=1&itview=05,ANINE BING,,,"Leather upper with leather sole
Elasticized pull on styling
Heel measures approx 3"" H
Made in Turkey
Revolve Style No. ANIN-WZ38
Manufacturer Style No. A-14-1002-001",Black,$399,kitten,kitten,patent
Stevie Boots,,ANINE BING,$224,$390,"Glittered man made upper with leather sole
Pull-on styling
Elastic side gussets
Heel measures approx 3"" H
Made in Turkey
Revolve Style No. ANIN-WZ36
Manufacturer Style No. AB81 041 22",silver,,kitten,kitten,fabric
Dita Boot,https://www.revolve.com/caverley-dita-boot/dp/CVRL-WZ14/?d=Womens&page=1&lc=24&itrownum=2&itcurrpage=1&itview=05,Caverley,$57,$225,"Leather upper and sole
Side zipper closure
Ankle strap with etched buckle closure
Heel measures approx 3"" H
Shaft measures approx 5.5"" H
Revolve Style No. CVRL-WZ14
Manufacturer Style No. 19T050N",Black,,western,block,leather
Brenna Boot,https://www.revolve.com/caverley-brenna-boot/dp/CVRL-WZ2/?d=Womens&page=1&lc=28&itrownum=3&itcurrpage=1&itview=05,Caverley,$99,$215,"Leather upper with man made sole
Side zippered closure
Heel measures approx 3"" H
Revolve Style No. CVRL-WZ2
Manufacturer Style No. 19F018N",white,,kitten,kitten,leather
Sabrina Boot,https://www.revolve.com/caverley-sabrina-boot/dp/CVRL-WZ5/?d=Womens&page=1&lc=29&itrownum=4&itcurrpage=1&itview=05,Caverley,$77,$195,"Croc embossed leather upper
Side zipper closure
Heel measures approx 2.5"" H
Shaft measures approx 4.5"" H
Made in Australia
Revolve Style No. CVRL-WZ5
Manufacturer Style No. 19F002N",Snake,,kitten,kitten,crocc
Ula Boot,https://www.revolve.com/caverley-ula-boot/dp/CVRL-WZ11/?d=Womens&page=1&lc=30&itrownum=4&itcurrpage=1&itview=05,Caverley,$38 (FINAL SALE),$210,"Suede upper with man made sole
Side zipper closure
Buckle accent
Heel measures approx 2"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. CVRL-WZ11
Manufacturer Style No. 19F009N",Black Suede,,western,block,suede
Turner Boot,https://www.revolve.com/caverley-turner-boot/dp/CVRL-WZ9/?d=Womens&page=1&lc=37&itrownum=6&itcurrpage=1&itview=05,Caverley,$79,$225,"Patent leather upper with man made sole
Side zipper closure
Silver buckle accent
Heel measures approx 3"" H
Imported
Revolve Style No. CVRL-WZ9
Manufacturer Style No. 19F025N",Black ,,kitten,kitten,patent
Western Bootie,https://www.revolve.com/caverley-western-bootie/dp/CVRL-WZ13/?d=Womens&page=1&lc=43&itrownum=7&itcurrpage=1&itview=05,Caverley,$50 (FINAL SALE),$215,"Patent leather upper with leather sole
Side zipper closure
Heel measures approx 2.5"" H
Shaft measures approx 5"" H
Revolve Style No. CVRL-WZ13
Manufacturer Style No. 19T046N",red,,western,block,patent
